Symbol,Annual_Return,Volatility,Sharpe_Ratio,Total_Return,Sector,Sector_Code
HWM,0.752841172101322,0.34357703835177855,2.074763713899485,2.9524480851600865,Industrial,XLI
BK,0.438942464753498,0.2088551385184642,1.9101395713001756,1.2828555660476528,Financial,XLF
GE,0.6260703928755633,0.3069077102957567,1.9095981404663533,2.1429408239188796,Industrial,XLI
WDC,0.9709455257480075,0.5018036648893092,1.855198737843736,4.3234537795239785,Technology,XLK
TPR,0.7605509312502271,0.3909149398813448,1.8432422446400676,2.8694286329857643,Consumer Discretionary,XLY
GEV,1.0255037669051124,0.5405440340175375,1.8231701857487128,3.7575907625013363,Industrial,XLI
RTX,0.4424749940546236,0.23096213970893972,1.74260159938692,1.2764145363943813,Industrial,XLI
APH,0.5991840617042299,0.32132703237152593,1.7402334860444857,1.951949291725387,Technology,XLK
GLW,0.5930427355031305,0.32054223234218177,1.7253350095620232,1.9216106605510754,Technology,XLK
GS,0.523810036913324,0.2885038123852372,1.6769623697980658,1.597890109533815,Financial,XLF
STX,0.784215713221356,0.4545391418121939,1.637297307893564,2.8533604824959102,Technology,XLK
CMI,0.48792625314609284,0.28085803942555804,1.594849319828057,1.430315036156054,Industrial,XLI
C,0.4968609504827778,0.2904158192534624,1.5731269448653873,1.4577697859628986,Financial,XLF
RL,0.5785292666167025,0.3635770583166515,1.4811970510737758,1.7585375300756296,Consumer Discretionary,XLY
MU,0.8993081320208821,0.5856007993419355,1.467395763439058,3.2201721223068533,Technology,XLK
JPM,0.38797884072572075,0.24329290915221674,1.4302876394478354,1.0326500923812088,Financial,XLF
MS,0.4420066780400559,0.2853075263749622,1.4090293486044358,1.2130868561884842,Financial,XLF
TJX,0.28462815654673324,0.17476155357983922,1.3997824552124716,0.7044829829584431,Consumer Discretionary,XLY
NVDA,0.7451929715667551,0.5098134992882727,1.383237149567916,2.380789085242173,Technology,XLK
CAT,0.44032039049390875,0.2955776612084245,1.3543661887615577,1.1934581571444816,Industrial,XLI
CAH,0.36974866810068846,0.2449291689418873,1.3463021555383865,0.9608347656562055,Healthcare,XLV
EBAY,0.4680633636226202,0.3193384957659877,1.3404690298795245,1.283226915650034,Consumer Discretionary,XLY
GM,0.5009120435819053,0.34391806446866174,1.3401798021106979,1.3992692590131304,Consumer Discretionary,XLY
AXP,0.41617281223667596,0.2810970802905957,1.338230947997723,1.10841400705689,Financial,XLF
WFC,0.42198796325685267,0.28914537841463245,1.3210930963215488,1.1229148938935678,Financial,XLF
SYF,0.5207307104960103,0.36400877767305895,1.320656918135604,1.461617569819543,Financial,XLF
RCL,0.5649440226423597,0.3989060815569507,1.3159589359818142,1.6150793546585827,Consumer Discretionary,XLY
LRCX,0.6541945552389038,0.47130192242868435,1.3031870357622855,1.93023731528914,Technology,XLK
AVGO,0.7267634453824572,0.5361427451698145,1.280933951955157,2.184816587056651,Technology,XLK
UAL,0.6712435646580093,0.5060619470549645,1.2473642176250181,1.9492207967558404,Industrial,XLI
JCI,0.3973618397846808,0.28672461156482476,1.2463591382488834,1.0249791917884425,Industrial,XLI
PH,0.40298797459222285,0.29157178045192816,1.2449352061080863,1.0425238038386633,Industrial,XLI
IBM,0.37390757111706424,0.2709158625422209,1.2325139177298134,0.9503136370590617,Technology,XLK
HIG,0.29488406367474335,0.20880017186040106,1.2207081124681876,0.7166819736988159,Financial,XLF
STT,0.341243382566104,0.2486522689633641,1.211504659989604,0.8477544150530569,Financial,XLF
CFG,0.41786961216702384,0.31236117911985317,1.209720149065115,1.076181869127831,Financial,XLF
KLAC,0.5675671204301124,0.4380508997853075,1.2043511854185838,1.541016958465534,Technology,XLK
LHX,0.284473131679426,0.21115382954644973,1.1577963430951967,0.6804469029711466,Industrial,XLI
NTRS,0.3450532077105381,0.26437222041735964,1.1538776927052175,0.8478394592691885,Financial,XLF
LDOS,0.34255377002669923,0.26377296914143084,1.1470234080902915,0.8378920871258948,Industrial,XLI
BAC,0.32427965154287614,0.24871129863063215,1.1430106034911889,0.7865146335161322,Financial,XLF
AXON,0.5847514079208472,0.49453039836054785,1.1015529272351923,1.5198053224681374,Industrial,XLI
BSX,0.2680671815273336,0.20737420509447194,1.0997856817507015,0.6289623227675669,Healthcare,XLV
COF,0.4081255652813062,0.33563439169364967,1.0968052571242846,1.0089383622158623,Financial,XLF
PWR,0.4409384461150251,0.366447155515207,1.0941235047965512,1.0923165307867748,Industrial,XLI
HAS,0.38665857082125576,0.32085602053019313,1.0804178467601315,0.944349977262021,Consumer Discretionary,XLY
MMM,0.3800745461967582,0.3174202210641348,1.0713701384766097,0.9269126275576569,Industrial,XLI
HLT,0.2815164992012016,0.22985151318383043,1.0507500945101098,0.6572479707662031,Consumer Discretionary,XLY
MCK,0.29729725017058384,0.244945577947535,1.0504261898767344,0.6965275708806375,Healthcare,XLV
COR,0.24345355339895755,0.20157875859971508,1.0093005573219416,0.5553250195195243,Healthcare,XLV
HCA,0.3019293136832267,0.26107916747610227,1.00325627745539,0.6985940207448902,Healthcare,XLV
MTB,0.3012269784165074,0.2665535240559933,0.980016975358514,0.6926835854169437,Financial,XLF
RF,0.30716760650214503,0.27606700659242606,0.9677636230416345,0.7036117467647172,Financial,XLF
CSCO,0.24380757427835084,0.21106559542780687,0.9656124858495065,0.550721990745731,Technology,XLK
CINF,0.2618671089761253,0.23014392322335234,0.9640363554626882,0.593171728898783,Financial,XLF
L,0.2145299939436418,0.18112086096244379,0.9636106686784763,0.48002877672674304,Financial,XLF
