Sector_Code,Annual_Return_mean,Annual_Return_std,Annual_Return_min,Annual_Return_max,Volatility_mean,Volatility_std,Sharpe_Ratio_mean,Sharpe_Ratio_std,PE_Ratio_mean,PE_Ratio_median,PB_Ratio_mean,PB_Ratio_median,ROE_mean,ROE_median,Profit_Margin_mean,Profit_Margin_median,Revenue_Growth_mean,Revenue_Growth_median,Beta_mean,Beta_median,Stock_Count
XLF,0.2184,0.1535,-0.1897,0.5238,0.2633,0.058,0.681,0.5427,23.8085,16.3127,2.8291,2.0747,0.1646,0.1339,0.2072,0.2096,0.1335,0.082,0.9475,0.966,65
XLI,0.1968,0.1986,-0.0895,1.0255,0.2849,0.075,0.5184,0.5515,34.5057,29.8104,4.9556,5.1394,0.3533,0.1931,0.1354,0.1393,0.0506,0.051,1.1046,1.161,73
XLK,0.2156,0.2651,-0.3464,0.9709,0.3821,0.1345,0.418,0.599,40.5178,35.1562,-3.8943,5.9697,0.3753,0.203,0.1905,0.1805,0.1326,0.0985,1.28,1.266,67
XLV,0.0781,0.1876,-0.4032,0.7018,0.329,0.1166,0.1692,0.5218,38.1893,28.2496,0.2402,3.1926,0.2049,0.1435,0.0844,0.0976,0.0834,0.079,0.868,0.88,63
XLY,0.1867,0.2154,-0.3285,0.7606,0.3341,0.0919,0.4573,0.5877,34.7766,25.5727,1.441,4.9543,0.2821,0.2498,0.1076,0.0956,0.0612,0.0685,1.1902,1.154,48
