,Train R²,Test R²,Test RMSE,Test MAE
Linear Regression,0.5274477168010723,-0.9223495340633652,0.2378808529914553,0.13877733361945335
Ridge Regression,0.5206245315270862,-1.3188684843306668,0.2612650805142654,0.1440509088052008
Lasso Regression,0.5155236029285106,0.10648493673161274,0.16217886173329005,0.11929620765217394
Random Forest,0.9212857659654163,0.4553602885236291,0.1266187322037789,0.08659555893303081
Gradient Boosting,0.9999554319434736,0.35452417368101663,0.1378425503617916,0.09570724480920534
